Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.89     0.00       16     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_get_insert_unique_pos(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.89     0.00       15     0.00     0.00  LAMMPS_NS::utils::numeric(char const*, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool, LAMMPS_NS::LAMMPS*)
  0.00      0.89     0.00       15     0.00     0.00  LAMMPS_NS::utils::numeric(char const*, int, char const*, bool, LAMMPS_NS::LAMMPS*)
  0.00      0.89     0.00       15     0.00     0.00  LAMMPS_NS::utils::is_double(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.89     0.00       13     0.00     0.00  LAMMPS_NS::Tokenizer::has_next() const
  0.00      0.89     0.00       12     0.00     0.00  LAMMPS_NS::Group::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.89     0.00       12     0.00     0.00  LAMMPS_NS::utils::fmtargs_logmesg(LAMMPS_NS::LAMMPS*, fmt::v10_lmp::basic_string_view<char>, fmt::v10_lmp::basic_format_args<fmt::v10_lmp::basic_format_context<fmt::v10_lmp::appender, char> >)
  0.00      0.89     0.00       12     0.00     0.00  LAMMPS_NS::MyPage<int>::allocate()
  0.00      0.89     0.00       12     0.00     0.00  LAMMPS_NS::Output::write_molecule_json(_IO_FILE*, int, int, int*, LAMMPS_NS::json_metadata*)
  0.00      0.89     0.00       12     0.00     0.00  LAMMPS_NS::Variable::find(char const*)
  0.00      0.89     0.00       11     0.00     0.00  fmt::v10_lmp::appender fmt::v10_lmp::detail::write<char, fmt::v10_lmp::appender>(fmt::v10_lmp::appender, fmt::v10_lmp::basic_string_view<char>, fmt::v10_lmp::format_specs<char> const&)
  0.00      0.89     0.00       11     0.00     0.00  LAMMPS_NS::utils::is_id(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.89     0.00       10     0.00     0.00  __static_initialization_and_destruction_0()
  0.00      0.89     0.00       10     0.00     0.00  LAMMPS_NS::Atom::new_avec(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, int&)
  0.00      0.89     0.00       10     0.00     0.00  LAMMPS_NS::Modify::get_fix_list()
  0.00      0.89     0.00       10     0.00     0.00  LAMMPS_NS::Domain::get_region_by_style(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  0.00      0.89     0.00       10     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Region* (*)(LAMMPS_NS::LAMMPS*, int, char**)>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Region* (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Region* (*)(LAMMPS_NS::LAMMPS*, int, char**)> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Region* (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
